,Entity,Code,Year,"Hospital beds (per 100,000)"
55,Algeria,DZA,1960,3.18741
56,Algeria,DZA,1970,2.8425
57,Algeria,DZA,1986,2.4884
58,Algeria,DZA,1988,2.6289999999999996
59,Algeria,DZA,1989,2.5644
60,Algeria,DZA,1990,2.4993000000000003
61,Algeria,DZA,1994,2.1032
62,Algeria,DZA,1998,2.1
63,Algeria,DZA,2004,1.7
64,Algeria,DZA,2015,1.9
118,Argentina,ARG,1960,6.3522500000000015
119,Argentina,ARG,1970,5.585800000000001
120,Argentina,ARG,1990,4.5943000000000005
121,Argentina,ARG,1993,4.6000000000000005
122,Argentina,ARG,1996,3.29
123,Argentina,ARG,2000,4.1
124,Argentina,ARG,2005,4.0
125,Argentina,ARG,2010,4.5
126,Argentina,ARG,2011,4.5
127,Argentina,ARG,2012,4.7
128,Argentina,ARG,2013,4.9
129,Argentina,ARG,2014,5.0
165,Australia,AUS,1960,11.2
166,Australia,AUS,1961,11.3
167,Australia,AUS,1962,11.4
168,Australia,AUS,1963,11.7
169,Australia,AUS,1964,11.8
170,Australia,AUS,1965,11.9
171,Australia,AUS,1966,11.8
172,Australia,AUS,1967,11.8
173,Australia,AUS,1968,11.8
174,Australia,AUS,1969,11.7
175,Australia,AUS,1970,11.7
176,Australia,AUS,1971,11.6
177,Australia,AUS,1972,11.8
178,Australia,AUS,1973,11.8
179,Australia,AUS,1974,12.0
180,Australia,AUS,1975,11.9
181,Australia,AUS,1976,11.9
182,Australia,AUS,1977,12.1
183,Australia,AUS,1978,12.1
184,Australia,AUS,1979,12.2
185,Australia,AUS,1980,12.3
186,Australia,AUS,1981,12.2
187,Australia,AUS,1982,12.1
188,Australia,AUS,1983,11.9
189,Australia,AUS,1984,11.7
190,Australia,AUS,1985,10.9
191,Australia,AUS,1987,10.5
192,Australia,AUS,1989,9.8
193,Australia,AUS,1991,9.2
194,Australia,AUS,1992,8.9
195,Australia,AUS,1993,8.9
196,Australia,AUS,1994,8.700000000000001
197,Australia,AUS,1995,8.700000000000001
198,Australia,AUS,1996,8.5
199,Australia,AUS,1997,8.3
200,Australia,AUS,1998,8.2
201,Australia,AUS,1999,7.9
202,Australia,AUS,2000,7.8
203,Australia,AUS,2001,7.6
204,Australia,AUS,2002,4.0
205,Australia,AUS,2004,3.9
206,Australia,AUS,2005,3.9
207,Australia,AUS,2006,3.93
208,Australia,AUS,2008,3.82
209,Australia,AUS,2009,3.77
210,Australia,AUS,2010,3.78
211,Australia,AUS,2011,3.79
212,Australia,AUS,2012,3.75
213,Australia,AUS,2013,3.74
214,Australia,AUS,2014,3.79
215,Australia,AUS,2015,3.82
216,Australia,AUS,2016,3.84
