,Entity,Code,Year,doc
50,Algeria,DZA,1960,0.17300000000000001
51,Algeria,DZA,1965,0.11599999999999999
52,Algeria,DZA,1970,0.12300000000000001
53,Algeria,DZA,1979,0.38
54,Algeria,DZA,1984,0.42700000000000005
55,Algeria,DZA,1988,0.429
56,Algeria,DZA,1990,0.9420000000000001
57,Algeria,DZA,1993,0.821
58,Algeria,DZA,1995,0.846
59,Algeria,DZA,1998,1.0
60,Algeria,DZA,2002,1.1059999999999999
61,Algeria,DZA,2005,1.021
62,Algeria,DZA,2007,1.192
63,Algeria,DZA,2010,1.207
97,Argentina,ARG,1960,1.351
98,Argentina,ARG,1965,1.6669999999999998
99,Argentina,ARG,1970,1.892
100,Argentina,ARG,1975,1.869
101,Argentina,ARG,1984,2.6830000000000003
102,Argentina,ARG,1985,2.705
103,Argentina,ARG,1986,2.984
104,Argentina,ARG,1988,3.032
105,Argentina,ARG,1990,2.68
106,Argentina,ARG,1992,2.639
107,Argentina,ARG,1995,2.68
108,Argentina,ARG,1998,3.002
109,Argentina,ARG,2001,3.2310000000000003
110,Argentina,ARG,2004,3.1660000000000004
111,Argentina,ARG,2005,3.21
112,Argentina,ARG,2010,3.21
113,Argentina,ARG,2013,3.907
146,Australia,AUS,1961,1.1
147,Australia,AUS,1966,1.2
148,Australia,AUS,1971,1.2
149,Australia,AUS,1976,1.5
150,Australia,AUS,1981,1.8
151,Australia,AUS,1984,1.8
152,Australia,AUS,1985,1.9
153,Australia,AUS,1986,2.0
154,Australia,AUS,1987,2.1
155,Australia,AUS,1988,2.1
156,Australia,AUS,1989,2.1
157,Australia,AUS,1990,2.2
158,Australia,AUS,1991,2.3
159,Australia,AUS,1992,2.4
160,Australia,AUS,1993,2.4
161,Australia,AUS,1994,2.4
162,Australia,AUS,1995,2.4
163,Australia,AUS,1996,2.513
164,Australia,AUS,1997,2.4
165,Australia,AUS,1998,2.4
166,Australia,AUS,1999,2.4
167,Australia,AUS,2000,2.5
168,Australia,AUS,2001,2.479
169,Australia,AUS,2002,2.5
170,Australia,AUS,2006,2.6719999999999997
171,Australia,AUS,2009,2.885
172,Australia,AUS,2011,3.287
173,Australia,AUS,2012,3.285
174,Australia,AUS,2013,3.3710000000000004
175,Australia,AUS,2014,3.44
176,Australia,AUS,2015,3.4960000000000004
177,Austria,AUT,1960,1.2
178,Austria,AUT,1961,1.4
179,Austria,AUT,1962,1.4
180,Austria,AUT,1963,1.4
181,Austria,AUT,1964,1.4
182,Austria,AUT,1965,1.4
183,Austria,AUT,1966,1.4
184,Austria,AUT,1967,1.4
185,Austria,AUT,1968,1.4
186,Austria,AUT,1969,1.4
187,Austria,AUT,1970,1.4
188,Austria,AUT,1971,1.4
