,Country,Year,Value
0,Australia,2000,76875.0
1,Australia,2001,76209.0
2,Australia,2002,76653.0
3,Australia,2003,78240.0
4,Australia,2004,79639.0
5,Australia,2005,78715.0
6,Australia,2006,80331.0
7,Australia,2008,81233.0
8,Australia,2009,81838.0
9,Australia,2010,83232.0
10,Australia,2011,84576.0
11,Australia,2012,85200.0
12,Australia,2013,86510.0
13,Australia,2014,89019.0
14,Australia,2015,90879.0
15,Australia,2016,92826.0
16,Australia,2000,7573.0
17,Australia,2001,7645.0
18,Australia,2002,7800.0
19,Australia,2003,7741.0
20,Australia,2004,7922.0
21,Australia,2005,7996.0
22,Australia,2006,8226.0
23,Australia,2008,8400.0
24,Australia,2009,8399.0
25,Australia,2010,8517.0
26,Australia,2011,8781.0
27,Australia,2012,9054.0
28,Australia,2013,9384.0
29,Australia,2014,9578.0
30,Australia,2015,9812.0
31,Australia,2016,10186.0
32,Australia,2000,52410.0
33,Australia,2001,51461.0
34,Australia,2002,52199.0
35,Australia,2003,53598.0
36,Australia,2004,55293.0
37,Australia,2005,54602.0
38,Australia,2006,55904.0
39,Australia,2007,56467.0
40,Australia,2008,56548.0
41,Australia,2009,56912.0
42,Australia,2010,57838.0
43,Australia,2011,58545.0
44,Australia,2012,58311.0
45,Australia,2013,58567.0
46,Australia,2014,60340.0
47,Australia,2015,60957.0
48,Australia,2016,61797.0
49,Australia,2000,10901.0
50,Australia,2001,11175.0
51,Australia,2002,10619.0
52,Australia,2003,10715.0
53,Australia,2004,10763.0
54,Australia,2005,11167.0
55,Australia,2006,11551.0
56,Australia,2008,11784.0
57,Australia,2009,11755.0
58,Australia,2010,11882.0
59,Australia,2011,11980.0
60,Australia,2012,12299.0
61,Australia,2013,12428.0
62,Australia,2014,12578.0
63,Australia,2015,13122.0
64,Australia,2016,13552.0
65,Australia,2000,13564.0
66,Australia,2001,13573.0
67,Australia,2002,13835.0
68,Australia,2003,13927.0
69,Australia,2004,13583.0
70,Australia,2005,12946.0
71,Australia,2006,12876.0
72,Australia,2008,12901.0
73,Australia,2009,13171.0
74,Australia,2010,13512.0
75,Australia,2011,14051.0
76,Australia,2012,14590.0
77,Australia,2013,15515.0
78,Australia,2014,16101.0
79,Australia,2015,16800.0
80,Australia,2016,17477.0
81,Austria,2000,63674.0
82,Austria,2001,63114.0
83,Austria,2002,63092.0
84,Austria,2003,62806.0
