,Entity,Code,Date,New tests per thousand
0,Argentina,ARG,"Apr 9, 2020",0.034
1,Argentina,ARG,"Apr 10, 2020",0.034
2,Argentina,ARG,"Apr 11, 2020",0.036000000000000004
3,Argentina,ARG,"Apr 14, 2020",0.067
4,Argentina,ARG,"Apr 15, 2020",0.035
5,Argentina,ARG,"Apr 16, 2020",0.046
6,Argentina,ARG,"Apr 17, 2020",0.049
7,Argentina,ARG,"Apr 18, 2020",0.051
8,Argentina,ARG,"Apr 19, 2020",0.039
9,Argentina,ARG,"Apr 20, 2020",0.040999999999999995
10,Argentina,ARG,"Apr 21, 2020",0.045
11,Argentina,ARG,"Apr 22, 2020",0.057999999999999996
12,Argentina,ARG,"Apr 23, 2020",0.057
13,Argentina,ARG,"Apr 24, 2020",0.063
14,Argentina,ARG,"Apr 25, 2020",0.061
15,Argentina,ARG,"Apr 26, 2020",0.055
16,Argentina,ARG,"Apr 27, 2020",0.044000000000000004
17,Argentina,ARG,"Apr 28, 2020",0.038
18,Argentina,ARG,"Apr 29, 2020",0.054000000000000006
19,Argentina,ARG,"Apr 30, 2020",0.057999999999999996
20,Argentina,ARG,"May 1, 2020",0.063
21,Argentina,ARG,"May 2, 2020",0.052000000000000005
22,Argentina,ARG,"May 3, 2020",0.043
23,Argentina,ARG,"May 4, 2020",0.047
24,Argentina,ARG,"May 5, 2020",0.04
25,Argentina,ARG,"May 6, 2020",0.057
26,Argentina,ARG,"May 7, 2020",0.064
27,Argentina,ARG,"May 8, 2020",0.06
28,Argentina,ARG,"May 9, 2020",0.063
29,Argentina,ARG,"May 10, 2020",0.051
30,Argentina,ARG,"May 11, 2020",0.047
31,Argentina,ARG,"May 12, 2020",0.053
32,Australia,AUS,"Apr 6, 2020",0.21600000000000003
33,Australia,AUS,"Apr 7, 2020",0.315
34,Australia,AUS,"Apr 8, 2020",0.34
35,Australia,AUS,"Apr 9, 2020",0.42200000000000004
36,Australia,AUS,"Apr 10, 2020",0.322
37,Australia,AUS,"Apr 11, 2020",0.373
38,Australia,AUS,"Apr 12, 2020",0.239
39,Australia,AUS,"Apr 13, 2020",0.321
40,Australia,AUS,"Apr 14, 2020",0.171
41,Australia,AUS,"Apr 15, 2020",0.192
42,Australia,AUS,"Apr 16, 2020",0.33799999999999997
43,Australia,AUS,"Apr 17, 2020",0.452
44,Australia,AUS,"Apr 18, 2020",0.5870000000000001
45,Australia,AUS,"Apr 19, 2020",0.568
46,Australia,AUS,"Apr 20, 2020",0.42100000000000004
47,Australia,AUS,"Apr 21, 2020",0.318
48,Australia,AUS,"Apr 22, 2020",0.494
49,Australia,AUS,"Apr 23, 2020",0.5579999999999999
50,Australia,AUS,"Apr 24, 2020",0.616
51,Australia,AUS,"Apr 25, 2020",0.466
52,Australia,AUS,"Apr 26, 2020",0.478
53,Australia,AUS,"Apr 27, 2020",0.41600000000000004
54,Australia,AUS,"Apr 28, 2020",0.534
55,Australia,AUS,"Apr 29, 2020",0.5379999999999999
56,Australia,AUS,"Apr 30, 2020",0.754
57,Australia,AUS,"May 1, 2020",0.9890000000000001
58,Australia,AUS,"May 2, 2020",0.8909999999999999
59,Australia,AUS,"May 3, 2020",0.8440000000000001
60,Australia,AUS,"May 4, 2020",0.6709999999999999
61,Australia,AUS,"May 5, 2020",0.57
