Country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,5/13/20
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173611,0.000295858,0.000219138,0.000173611,0.000137174,0.000111111,0.000127831,0.000118906,0.000135803,7.76357E-05,4.20782E-05,3.21361E-05,2.72612E-05,2.30253E-05,1.85613E-05,1.55427E-05,1.40697E-05,1.18719E-05,1.02622E-05,0.00000858,0.00000808,0.00000885,0.00000766,0.00000831,0.00000872,0.00000854,0.00000896,0.0000083,0.00000847,0.00000826,0.00000826,0.000008,0.00000796,0.00000761,0.0000072,0.00000677,0.00000623,0.00000572,0.00000543,0.0000052,0.00000496,0.00000475,0.0000045,0.00000424,0.00000395,0.00000372,0.00000349,0.00000328,0.000003,0.0000028,0.00000263,0.00000249,0.00000231,0.00000215,0.00000201,0.00000191,0.0000018,0.00000169,0.0000016,0.00000153,0.00000146,0.0000014,0.00000134
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694444,0.000694444,0.000346021,0.000277008,0.000277008,0.000208117,0.00017301,9.87654E-05,6.37755E-05,4.32526E-05,3.20461E-05,3.18844E-05,1.83105E-05,1.60231E-05,0.00000565,0.00000441,0.00000401,0.00000534,0.00000357,0.00000375,0.00000378,0.00000342,0.00000342,0.00000243,0.00000252,0.0000028,0.00000244,0.00000204,0.00000209,0.00000199,0.00000211,0.00000214,0.00000223,0.0000021,0.00000213,0.00000196,0.00000199,0.00000197,0.00000186,0.00000174,0.00000173,0.0000017,0.00000164,0.00000157,0.0000016,0.00000154,0.0000014,0.00000135,0.00000129,0.00000127,0.00000123,0.00000122,0.00000117,0.00000111,0.0000011,0.00000108,0.00000108,0.00000109,0.00000105,0.00000101,0.000000978,0.000000931,0.000000899,0.000000838,0.000000797,0.000000741,0.000000695
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0.025,0.025206612,0.011317723,0.01125904,0.011238662,0.011249615,0.006336806,0.002843894,0.001281905,0.001281905,0.000533834,0.000361965,0.000357159,0.000134391,0.000113129,8.86464E-05,4.22873E-05,2.92291E-05,0.000015502,0.00000829,0.00000644,0.00000431,0.00000393,0.00000574,0.00000534,0.00000379,0.00000346,0.0000192,0.0000392,0.0000584,0.0000543,0.0000512,0.0000568,0.0000543,0.0000521,0.000051,0.0000569,0.00005,0.0000513,0.000047,0.0000532,0.0000494,0.0000468,0.0000562,0.0000552,0.000056,0.0000543,0.0000528,0.0000514,0.0000512,0.0000505,0.0000527,0.0000548,0.0000566,0.0000578,0.0000573,0.0000565,0.0000584,0.00006,0.00006,0.00006,0.0000603,0.0000598,0.0000588,0.0000586,0.0000583,0.0000583,0.0000583,0.0000583,0.0000583,0.0000583,0.0000583
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000011,0.000000394,0.000000233,0.000000135,0.000000289,0.000000169,0.000000148,0.000000148,0.000000105,0.000000101,0.000000125,0.000000105,0.0000001,9.61E-08,0.000000103,9.89E-08,9.94E-08,0.000000111,0.000000117,0.000000124,0.000000127,0.000000128,0.000000127,0.000000134,0.00000014,0.000000145,0.000000152,0.000000163,0.000000168,0.000000174,0.000000177,0.00000018,0.000000187,0.00000019,0.000000191,0.000000196,0.000000202,0.000000206,0.000000208,0.000000215,0.000000222,0.000000229,0.000000232,0.000000233,0.000000234,0.000000234,0.000000235,0.000000241,0.000000244,0.000000245,0.000000244,0.000000246,0.000000246,0.000000246,0.000000247,0.000000247,0.000000245,0.000000247,0.000000245,0.000000245,0.000000246,0.000000245,0.000000244
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000510204,0.000346021,0.00025,0.00032,0.000274348,0.000275482,0.000262985,0.000328731,0.000258265,0.000217014,0.000217014,0.000217014,0.000208247,0.000192234,0.000205761,0.000191327,0.000161247,0.000163265,0.000116219,7.93179E-05,6.32064E-05,0.000042084,1.92837E-05,1.50187E-05,0.000012913,0.00000882,0.00000605,0.00000449,0.0000033,0.00000243,0.00000222,0.00000183,0.00000151,0.00000116,0.000000962,0.000000843,0.000000725,0.000000596,0.00000056,0.000000494,0.000000435,0.000000371,0.000000323,0.000000286,0.00000025,0.000000226,0.000000198,0.000000177,0.000000153,0.000000135,0.000000129,0.000000119,0.000000113,0.000000106,9.71E-08,9.01E-08,8.47E-08
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000433,0.00000753,0.00000433,0.00000325,0.00000258,0.00000253,0.00000265,0.00000175,0.00000114,0.000000725,0.000000484,0.000000464,0.000000391,0.00000034,0.000000307,0.000000259,0.000000226,0.000000184,0.000000197,0.000000206,0.00000013,0.000000122,0.000000109,9.32E-08,8.19E-08,7.29E-08,6.58E-08,5.89E-08,0.000000053,4.83E-08,4.52E-08,4.18E-08,3.87E-08,3.55E-08,3.37E-08,3.18E-08,3.02E-08,2.85E-08,2.72E-08,2.59E-08,2.48E-08,2.36E-08,0.000000023,2.19E-08
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000304,0.00000304,0.00000096,0.000000843,0.00000051,0.000000447,0.000000647,0.000000634,0.000000652,0.000000726,0.000000846,0.000000648,0.000000628,0.000000669,0.00000073,0.000000566,0.000000545,0.000000423,0.000000367,0.000000362,0.000000432,0.000000425,0.000000429,0.000000406,0.000000378,0.000000373,0.000000377,0.000000413,0.000000409,0.000000404,0.000000425,0.000000426,0.00000041,0.000000417,0.000000429,0.000000394,0.000000401,0.000000395,0.000000394,0.000000383,0.000000365,0.000000358,0.000000357,0.000000354,0.00000034,0.000000337,0.000000333,0.000000331,0.000000327,0.000000327,0.000000323,0.00000032,0.000000317,0.000000315,0.000000314,0.000000314,0.000000323,0.000000318,0.000000315,0.00000031,0.000000307,0.000000305,0.000000303,0.000000303
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000097,0.00000217,0.00000156,0.00000175,0.00000144,0.00000105,0.000000918,0.000000911,0.000000905,0.000000864,0.000000788,0.000000728,0.000000751,0.000000758,0.000000615,0.000000514,0.000000501,0.000000438,0.000000415,0.000000392,0.000000381,0.000000348,0.000000313,0.00000029,0.000000274,0.000000262,0.000000248,0.000000242,0.00000024,0.000000216,0.000000208,0.000000189,0.000000175,0.000000165,0.000000156,0.000000148,0.000000139,0.000000133,0.000000127,0.000000115,0.000000108,0.000000101,9.48E-08,8.68E-08,0.000000079,7.54E-08,7.17E-08,0.000000068,6.24E-08,5.96E-08,5.36E-08,4.99E-08,4.64E-08,4.38E-08,0.000000042,4.05E-08,3.92E-08,3.66E-08
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000694,0.0000063,0.0000062,0.00000601,0.00000583,0.00000565,0.00000557,0.00000549,0.00000549,0.00000549,0.00000549,0.00000549,0.00000549,0.00000541,0.00000541,0.00000541,0.00000541,0.00000541,0.00000541,0.00000541,0.00000541,0.00000533,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000525,0.00000518,0.00000503,0.00000503,0.00000503,0.00000503,0.00000503,0.00000503,0.00000503
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
